region,code
Asia,AFG
Europe,ALA
Europe,ALB
Africa,DZA
Oceania,ASM
Europe,AND
Africa,AGO
South America,AIA
South America,ATG
South America,ARG
Asia,ARM
South America,ABW
Oceania,AUS
Europe,AUT
Asia,AZE
South America,BHS
Asia,BHR
Asia,BGD
South America,BRB
Europe,BLR
Europe,BEL
South America,BLZ
Africa,BEN
North America,BMU
Asia,BTN
South America,BOL
South America,BES
Europe,BIH
Africa,BWA
South America,BVT
South America,BRA
Africa,IOT
Asia,BRN
Europe,BGR
Africa,BFA
Africa,BDI
Africa,CPV
Asia,KHM
Africa,CMR
North America,CAN
South America,CYM
Africa,CAF
Africa,TCD
South America,CHL
Asia,CHN
Oceania,CXR
Oceania,CCK
South America,COL
Africa,COM
Africa,COG
Africa,COD
Oceania,COK
South America,CRI
Africa,CIV
Europe,HRV
South America,CUB
South America,CUW
Asia,CYP
Europe,CZE
Europe,DNK
Africa,DJI
South America,DMA
South America,DOM
South America,ECU
Africa,EGY
South America,SLV
Africa,GNQ
Africa,ERI
Europe,EST
Africa,SWZ
Africa,ETH
South America,FLK
Europe,FRO
Oceania,FJI
Europe,FIN
Europe,FRA
South America,GUF
Oceania,PYF
Africa,ATF
Africa,GAB
Africa,GMB
Asia,GEO
Europe,DEU
Africa,GHA
Europe,GIB
Europe,GRC
North America,GRL
South America,GRD
South America,GLP
Oceania,GUM
South America,GTM
Europe,GGY
Africa,GIN
Africa,GNB
South America,GUY
South America,HTI
Oceania,HMD
Europe,VAT
South America,HND
Asia,HKG
Europe,HUN
Europe,ISL
Asia,IND
Asia,IDN
Asia,IRN
Asia,IRQ
Europe,IRL
Europe,IMN
Asia,ISR
Europe,ITA
South America,JAM
Asia,JPN
Europe,JEY
Asia,JOR
Asia,KAZ
Africa,KEN
Oceania,KIR
Asia,PRK
Asia,KOR
Asia,KWT
Asia,KGZ
Asia,LAO
Europe,LVA
Asia,LBN
Africa,LSO
Africa,LBR
Africa,LBY
Europe,LIE
Europe,LTU
Europe,LUX
Asia,MAC
Africa,MDG
Africa,MWI
Asia,MYS
Asia,MDV
Africa,MLI
Europe,MLT
Oceania,MHL
South America,MTQ
Africa,MRT
Africa,MUS
Africa,MYT
South America,MEX
Oceania,FSM
Europe,MDA
Europe,MCO
Asia,MNG
Europe,MNE
South America,MSR
Africa,MAR
Africa,MOZ
Asia,MMR
Africa,NAM
Oceania,NRU
Asia,NPL
Europe,NLD
Oceania,NCL
Oceania,NZL
South America,NIC
Africa,NER
Africa,NGA
Oceania,NIU
Oceania,NFK
Europe,MKD
Oceania,MNP
Europe,NOR
Asia,OMN
Asia,PAK
Oceania,PLW
Asia,PSE
South America,PAN
Oceania,PNG
South America,PRY
South America,PER
Asia,PHL
Oceania,PCN
Europe,POL
Europe,PRT
South America,PRI
Asia,QAT
Africa,REU
Europe,ROU
Europe,RUS
Africa,RWA
South America,BLM
Africa,SHN
South America,KNA
South America,LCA
South America,MAF
North America,SPM
South America,VCT
Oceania,WSM
Europe,SMR
Africa,STP
Asia,SAU
Africa,SEN
Europe,SRB
Africa,SYC
Africa,SLE
Asia,SGP
South America,SXM
Europe,SVK
Europe,SVN
Oceania,SLB
Africa,SOM
Africa,ZAF
South America,SGS
Africa,SSD
Europe,ESP
Asia,LKA
Africa,SDN
South America,SUR
Europe,SJM
Europe,SWE
Europe,CHE
Asia,SYR
Asia,TWN
Asia,TJK
Africa,TZA
Asia,THA
Asia,TLS
Africa,TGO
Oceania,TKL
Oceania,TON
South America,TTO
Africa,TUN
Asia,TUR
Asia,TKM
South America,TCA
Oceania,TUV
Africa,UGA
Europe,UKR
Asia,ARE
Europe,GBR
North America,USA
Oceania,UMI
South America,URY
Asia,UZB
Oceania,VUT
South America,VEN
Asia,VNM
South America,VGB
South America,VIR
Oceania,WLF
Africa,ESH
Asia,YEM
Africa,ZMB
Africa,ZWE
